date,point,lat,long,elev,live,height,width1,width2,species,repro,notes,plant
8/5/21,DAKA001,42.46733672,-112.0892088,1574.652,1,26.4,16.5,13,tridentata,0,,1
8/5/21,DAKA002,42.46738757,-112.0890028,1575.084,1,15.8,7.2,6.6,tridentata,0,,1
8/5/21,DAKA003,42.46738951,-112.0890029,1575.073,1,9,8,6,tridentata,0,,1
8/5/21,DAKA004,42.46740866,-112.088995,1575.364,1,15.5,9.5,7.3,tridentata,0,,1
8/5/21,DAKA005,42.46740461,-112.0889911,1575.294,1,51.2,26,18,tridentata,3,tag detached - reattached ,1
8/5/21,DAKA006,42.46740707,-112.0889936,1575.365,1,8.5,4,3.4,tridentata,0,,1
8/5/21,DAKA007,42.46745457,-112.0889232,1575.749,1,25.5,18,19.1,tridentata,0,,1
8/5/21,DAKA008,42.46775272,-112.0884581,1578.999,0,NA,NA,NA,tridentata,NA,dead,1
8/5/21,DAKA009,42.4679194,-112.0880975,1580.865,0,NA,NA,NA,tridentata,NA,dead,1
8/5/21,DAKA010,42.46789473,-112.0880632,1580.627,0,NA,NA,NA,tridentata,NA,"dead, tag removed",1
8/5/21,DAKA011,42.46789897,-112.0879802,1580.811,1,38.2,23.5,16.3,tridentata,0,,1
8/5/21,DAKA012,42.46800733,-112.0878296,1582.844,1,35.2,28.5,18.5,tridentata,0,,1
8/5/21,DAKA013,42.46800908,-112.0877833,1582.828,1,26.5,19,14.6,tridentata,0,,1
8/5/21,DAKA014,42.46801298,-112.0877652,1582.885,1,15.2,26.5,18,tridentata,1,,1
8/5/21,DAKA015,42.46802865,-112.0877595,1583.11,0,NA,NA,NA,tridentata,NA,"dead, tag removed",1
8/5/21,DAKA016,42.46821121,-112.0875508,1587.657,1,24,18.2,15,tridentata,0,,1
8/5/21,DAKA017,42.46824044,-112.0874783,1588.9,0,NA,NA,NA,tridentata,NA,"dead, tag removed",1
8/5/21,DAKA018,42.46824409,-112.08749,1588.744,1,45,37.2,15,tridentata,1,,1
8/5/21,DAKA019,42.46824451,-112.0874537,1589.3,1,38.8,16,8.5,tridentata,0,,1
8/5/21,DAKA020,42.46824873,-112.087446,1589.445,1,16.5,8.4,3.7,tridentata,0,,1
8/5/21,DAKA021,42.46825256,-112.0874455,1589.469,1,12.3,15.7,9,tridentata,0,,1
8/5/21,DAKA022,42.46825382,-112.08745,1589.438,0,NA,NA,NA,tridentata,NA,"dead, tag removed",1
8/5/21,DAKA023,42.46825406,-112.0874562,1589.326,1,23.1,14.5,5.2,tridentata,0,,1
8/5/21,DAKA024,42.46825574,-112.0874518,1589.409,0,NA,NA,NA,tridentata,NA,dead,1
8/5/21,DAKA025,42.46825454,-112.0874276,1589.796,0,NA,NA,NA,gutierrezia,NA,"tag deteached - dead, removed",1
8/5/21,DAKA026,42.46826297,-112.087431,1589.765,0,NA,NA,NA,tridentata,NA,dead,1
8/5/21,DAKA027,42.46826958,-112.0874213,1589.894,0,NA,NA,NA,tridentata,NA,"dead, tag removed",1
8/5/21,DAKA028,42.46827831,-112.08742,1589.906,0,NA,NA,NA,tridentata,NA,"dead, tag removed",1
8/5/21,DAKA029,42.46828191,-112.0873984,1590.183,1,22.3,14.5,14,tridentata,0,,1
8/5/21,DAKA030,42.4682747,-112.0873997,1590.174,1,16,25.5,15.5,gutierrezia,NA,tag reattached,1
8/5/21,DAKA031,42.4682889,-112.0873857,1590.307,1,23.8,12.5,7,tridentata,0,tag detached - reattached ,1
8/5/21,DAKA032,42.46828957,-112.0873835,1590.339,1,16.6,10.6,4.5,tridentata,0,,1
8/5/21,DAKA033,42.46829422,-112.0873664,1590.522,1,31.5,12.5,9,tridentata,0,obstructed by large forb,1
8/5/21,DAKA035,42.46830463,-112.087328,1590.923,1,15.5,6.7,3.3,tridentata,0,,1
8/5/21,DAKA036,42.46831313,-112.0873268,1590.937,1,10.2,3.4,1.7,tridentata,0,,1
8/5/21,DAKA037,42.46832745,-112.0873136,1591.068,1,38,44,44.5,putr,NA,putr,1
8/5/21,DAKA038,42.46832438,-112.0872792,1591.372,0,NA,NA,NA,tridentata,NA,dead,1
8/5/21,DAKA039,42.46832853,-112.0872615,1591.516,1,24,21,21.5,erna,NA,ERNA!,1
8/5/21,DAKA040,42.46835696,-112.0872077,1592.102,1,19.1,14,7.7,tridentata,0,,1
8/5/21,DAKA041,42.46837047,-112.0872176,1592.128,1,14.5,24,17.2,putr,NA,,1
8/5/21,DAKA042,42.46837697,-112.0872359,1592.018,NA,NA,NA,NA,start_DA1,NA,"16,22,20,artr",0
8/5/21,DAKA043,42.4683817,-112.087228,1592.15,1,51.7,32,22,tridentata,2,tag chewed up and detached - new tag attached,1
8/5/21,DAKA044,42.46838471,-112.0872314,1592.15,1,53,69,59.5,tridentata,8,reattached tag,1
8/5/21,DAKA045,42.46840373,-112.0872357,1592.218,1,84.5,46,53,tridentata,51,,1
8/5/21,DAKA046,42.46843278,-112.0872266,1592.448,1,44.7,47,45,tridentata,4,,1
8/5/21,DAKA047,42.4684721,-112.0872292,1592.663,0,NA,NA,NA,tridentata,NA,dead,1
8/5/21,DAKA048,42.46850233,-112.0872352,1592.781,0,NA,NA,NA,tridentata,NA,"dead, broke stem - no tag",1
8/5/21,DAKA049,42.46864388,-112.087215,1593.64,NA,NA,NA,NA,end_DA1,NA,,0
8/5/21,DAKA050,42.46845643,-112.0869755,1593.668,1,28,16,8.5,tridentata,0,chewed up,1
8/5/21,DAKA051,42.46838244,-112.0868269,1590.753,NA,NA,NA,NA,end_DA2,NA,,0
8/5/21,DAKA052,42.46836974,-112.0868262,1590.528,0,NA,NA,NA,tridentata,NA,"dead, tag removed by AR, TB (comment on data sheet)",1
8/5/21,DAKA053,42.46812911,-112.0868509,1584.905,1,27.3,23.2,9,tripartita,NA,,1
8/5/21,DAKA054,42.46812354,-112.0868429,1584.774,1,32.2,29.5,12.9,tripartita,NA,,1
8/5/21,DAKA055,42.46812026,-112.0868409,1584.681,NA,NA,NA,NA,start_DA2,NA,,0
8/5/21,DAKA056,42.46797394,-112.0868904,1582.914,1,45.5,44,32.5,teca,NA,,1
8/5/21,DAKA057,42.46786762,-112.0868968,1581.701,1,41,19,11.8,tridentata,0,,1
8/5/21,DAKA058,42.46770471,-112.086891,1581.885,1,56,32,18.5,tridentata,0,,1
8/5/21,DAKA059,42.46768865,-112.0868746,1582.302,1,54,21,22,tridentata,0,,1
8/5/21,DAKA060,42.46768278,-112.0868662,1582.512,1,25.5,8,5,tridentata,0,,1
8/5/21,DAKA061,42.46768199,-112.0868662,1582.517,0,NA,NA,NA,tridentata,NA,,1
8/5/21,DAKA062,42.46763901,-112.0867952,1583.639,1,55,38,38,tridentata,7,,1
8/5/21,DAKA063,42.46764885,-112.0867741,1583.717,1,24,12.5,7,tridentata,0,on the struggle bus,1
8/5/21,DAKA064,42.46760462,-112.0871854,1580.643,1,7.5,6,4,tridentata,0,,1
8/5/21,DAKA065,42.46756979,-112.0873509,1579.919,1,26.5,20,19,tridentata,0,,1
8/5/21,DAKA066,42.46756871,-112.0873571,1579.892,1,14.5,7,6,tridentata,0,,1
8/5/21,DAKA067,42.46751092,-112.0875771,1579.728,1,38.5,16,8.5,tridentata,0,,1
8/5/21,DAKA068,42.46769366,-112.0886498,1578.379,NA,NA,NA,NA,start_DA3,NA,,0
8/5/21,DAKA069,42.46795966,-112.0886517,1581.767,NA,NA,NA,NA,end_DA3,NA,,0
8/5/21,DAKA070,42.46713521,-112.0885932,1575.507,NA,NA,NA,NA,end_DA4,NA,,0
8/5/21,DAKA071,42.46691752,-112.0886475,1579.335,0,NA,NA,NA,tridentata,NA,,1
8/5/21,DAKA072,42.46687653,-112.0886539,1580.003,NA,NA,NA,NA,start_DA4,NA,,0
